Naam,Prijs,Foto,Review,Kleur
Thermoshirt voor skiën dames BL 100 zwart,"€6,99",https://contents.mediadecathlon.com/p1691845/k$ea7ac2b43e3d08cb55754cd7a6d353aa/sq/thermoshirt-voor-skien-dames-bl-100-zwart.jpg?format=auto&f=800x0,"['Zit lekker. Warm en niet koud gehad', 'Goed']",black
Thermoshirt unisex Keepdry 500 korte mouwen zwart,"€14,99",https://contents.mediadecathlon.com/p2361487/k$87c1d2002df069255814fef191eedb82/sq/thermoshirt-unisex-keepdry-500-korte-mouwen-zwart.jpg?format=auto&f=800x0,"['Slechte info betreft maatvoering\nVorige bestelling thermoshirts besteld lange mouw lx perfect !\nNu korte mouwen xl en past mijn zoon van 16 nog niet eens', 'Prima zweetshirt voor o. a fietsen! Draagt fijn!']",NA
Thermoshirt unisex Keepdry 500 met lange mouwen zwart,"€17,99",https://contents.mediadecathlon.com/p2362329/k$b3445432a77058e145d218813a0c8b34/sq/thermoshirt-unisex-keepdry-500-met-lange-mouwen-zwart.jpg?format=auto&f=800x0,"['Heerlijk en goed/fijn materiaal, waardoor ik geen jeuk krijg als bij andere sommige merken! Vanwege allergie!', 'It keeps working as the first day after years']",gainsboro
Thermoshirt kind | Thermokleding kind | Wedze 100 | Zwart,"€5,99",https://contents.mediadecathlon.com/p89687/k$95cdd18abb61c807c77c0139dbf39138/sq/thermoshirt-kind-thermokleding-kind-wedze-100-zwart.jpg?format=auto&f=800x0,"['Lekker zacht en elastisch.', 'Vooral voor de kindermaten valt het echt een maat kleiner. Hier 10y besteld en is gelijk aan 134 vermoed ik. Te klein dus voor een tienjarige.']",black
FIETSONDERSHIRT ESSENTIAL ZWART,"€10,99",https://contents.mediadecathlon.com/p2132988/k$89bc513deff2a531e2fa69212bf23c66/sq/fietsondershirt-essential-zwart.jpg?format=auto&f=800x0,"['Het beste wat ik tot nu toe ooit gehad heb. Ik zweet gigantisch veel. Dit shirt ventileert goed. Ik gebruik dit onder de 10° in combinatie met een gewatteerde fietstrui. Onder de 5° doe ik een termo jas aan.', 'Ik had in het verleden soorgelijke ondershirts van de decathlon.\nDeze waren qua maatvoering een stuk beter en ook een stuk elastischer.\n\nIk had nu de grootste die er is (XL/XXL) en deze zit als een naveltruitje.\nIk ben met andere kleding vaak een XL dus je zou zeggen dat deze moet passen.\n\nJammer, dat er geen grotere maat is, deze gaan helaas terug :(']",black
Wielren ondershirt Roadc 500 SM wit voor de zomer of indoor,"€15,99",https://contents.mediadecathlon.com/p2185868/k$36af0e0d53a7c68e53dcd04a6ad06c2b/sq/wielren-ondershirt-roadc-500-sm-wit-voor-de-zomer-of-indoor.jpg?format=auto&f=800x0,"['Voor die prijs, gewoon goed!', 'Zit als gegoten.']",lightgray
Herenthermoshirt voor skiën BL 100 zwart,"€6,99",https://contents.mediadecathlon.com/p1691723/k$76339ac8f2a8cdd63d1f1685646bd279/sq/herenthermoshirt-voor-skien-bl-100-zwart.jpg?format=auto&f=800x0,"['Ik gebruik dit T-shirt met lange mouwen bij het fietsen in de winter. Het shirt beschermd erg goed tegen de kou.', 'prima pasvorm juiste maat, fijn materiaal']",NA
Merino thermoshirt voor skiën heren 900 opstaande kraag marineblauw,"€54,99",https://contents.mediadecathlon.com/p2295528/k$fd4a31e7afb951b021fa049dbfefcfb8/sq/merino-thermoshirt-voor-skien-heren-900-opstaande-kraag-marineblauw.jpg?format=auto&f=800x0,"['Goed produkt en in de aanbieding een super prijs', ""Great product wasn't sure about the roll neck when bought for skiing.\nUsed on skiing holiday, comfortable, warm and breathable.\nUsed since on motorcycle and great""]",darkslategray
Thermoshirt kind Keepdry 500 lange mouwen wit,"€14,99",https://contents.mediadecathlon.com/p2321230/k$a48c527ffcea282d4f369b11317e2f23/sq/thermoshirt-kind-keepdry-500-lange-mouwen-wit.jpg?format=auto&f=800x0,"['Fijn dun shirt voor buitensporten om warm te blijven.', 'Goede prijs en kwaliteit']",linen
ADEMEND HARDLOOPSHIRT VOOR DAMES KIPRUN SKINCARE ZWART,"€19,99",https://contents.mediadecathlon.com/p1764093/k$bd17333fb4ec4274fab06d61b2053782/sq/ademend-hardloopshirt-voor-dames-kiprun-skincare-zwart.jpg?format=auto&f=800x0,"['Really comfortable on your skin, absorbing. Perfect for running!', 'Goed']",lavender
Fiets ondershirt dames 500 zwart voor warm weer of indoor,"€14,99",https://contents.mediadecathlon.com/p1765117/k$be2ec019aaba384f7942af89ef55d7ce/sq/fiets-ondershirt-dames-500-zwart-voor-warm-weer-of-indoor.jpg?format=auto&f=800x0,"['Het shirtje zit goed. Doet wat ie moet doen. Sluit bij mij goed aan. (maat M gekozen 1.69cm/72kg) Hij schijnt alles iets door maar met een zwarte sportbh er onder valt het niet heel erg op.', 'uitstekend']",black
Thermoshirt voor skiën voor dames 500 koraalrood,"€14,99",https://contents.mediadecathlon.com/p2041466/k$e466d5ac01806580dcce40cc1293c565/sq/thermoshirt-voor-skien-voor-dames-500-koraalrood.jpg?format=auto&f=800x0,"['Great base layers who easily get cold in winter. No sweat, no overheat, just right', 'Good product']",tomato
Wielren ondershirt voor fris weer,"€19,99",https://contents.mediadecathlon.com/p1625570/k$d818d6352d423bb07d92500565343a16/sq/wielren-ondershirt-voor-fris-weer.jpg?format=auto&f=800x0,"['Dit shirt is echt een aanrader. Is niet duur en helpt enorm met de ritten. Hij heeft een klein kraagje wat helpt om je warm te houden, hierdoor komt er geen koude lucht je shirt in.\n\nIk heb hem gebruikt onder een zomershirt met lange mouwen en zelfs dan is het nog goed uit te houden met herfst temperaturen.', 'Heerlijke pasvorm en goed isolerend.']",lavender
Mouwloos ondershirt voor basketbal kinderen NBA Los Angeles Lakers UT500 zwart,"€15,99",https://contents.mediadecathlon.com/p2331276/k$c1b375a1c675d3b4207667ef9132dbbf/sq/mouwloos-ondershirt-voor-basketbal-kinderen-nba-los-angeles-lakers-ut500-zwart.jpg?format=auto&f=800x0,[],black
